ticker,company,gics_sector,gics_sub_industry
WRK,WestRock Co,Materials,Paper & Plastic Packaging Products & Materials
WY,Weyerhaeuser Co,Real Estate,Timber REITs
WHR,Whirlpool Corp,Consumer Discretionary,Household Appliances
WMB,Williams Companies Inc,Energy,Oil & Gas Storage & Transportation
WTW,Willis Towers Watson plc,Financials,Insurance Brokers
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming
XEL,Xcel Energy Inc,Utilities,Multi-Utilities
XYL,Xylem Inc,Industrials,Industrial Machinery & Supplies
YUM,Yum Brands Inc,Consumer Discretionary,Restaurants
ZBRA,Zebra Technologies Corp,Information Technology,Electronic Equipment & Instruments
ZBH,Zimmer Biomet Holdings Inc,Health Care,Health Care Equipment
ZTS,Zoetis Inc,Health Care,Pharmaceuticals
AMCR,Amcor plc,Materials,Paper & Plastic Packaging Products & Materials
ATO,Atmos Energy Corp,Utilities,Gas Utilities
BALL,Ball Corp,Materials,Metal & Glass Containers
BWA,BorgWarner Inc,Consumer Discretionary,Automotive Parts & Equipment
CZR,Caesars Entertainment Inc,Consumer Discretionary,Casinos & Gaming
CPT,Camden Property Trust,Real Estate,Residential REITs
CNP,CenterPoint Energy Inc,Utilities,Multi-Utilities
CINF,Cincinnati Financial Corp,Financials,Property & Casualty Insurance
DG,Dollar General Corp,Consumer Discretionary,General Merchandise Stores
DOV,Dover Corp,Industrials,Industrial Machinery & Supplies
EW,Edwards Lifesciences Corp,Health Care,Health Care Equipment
EMN,Eastman Chemical Co,Materials,Specialty Chemicals
EQT,EQT Corp,Energy,Oil & Gas Exploration & Production
EXPE,Expedia Group Inc,Consumer Discretionary,Hotels Resorts & Cruise Lines
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs
GL,Globe Life Inc,Financials,Life & Health Insurance
GNRC,Generac Holdings Inc,Industrials,Electrical Components & Equipment
HIG,Hartford Financial Services Group Inc,Financials,Property & Casualty Insurance
HOLX,Hologic Inc,Health Care,Health Care Equipment
HUBB,Hubbell Inc,Industrials,Electrical Components & Equipment
INVH,Invitation Homes Inc,Real Estate,Residential REITs
IRM,Iron Mountain Inc,Real Estate,Other Specialized REITs
JBHT,JB Hunt Transport Services Inc,Industrials,Trucking
LYV,Live Nation Entertainment Inc,Communication Services,Movies & Entertainment
MKTX,MarketAxess Holdings Inc,Financials,Financial Exchanges & Data
MGM,MGM Resorts International,Consumer Discretionary,Casinos & Gaming
MHK,Mohawk Industries Inc,Consumer Discretionary,Home Furnishings
MOH,Molina Healthcare Inc,Health Care,Managed Health Care
TAP,Molson Coors Beverage Co,Consumer Staples,Brewers
NRG,NRG Energy Inc,Utilities,Electric Utilities
NCLH,Norwegian Cruise Line Holdings Ltd,Consumer Discretionary,Hotels Resorts & Cruise Lines
ORLY,O'Reilly Automotive Inc,Consumer Discretionary,Specialty Stores
PKG,Packaging Corp of America,Materials,Paper & Plastic Packaging Products & Materials
PNR,Pentair plc,Industrials,Industrial Machinery & Supplies
POOL,Pool Corp,Consumer Discretionary,Distributors
PRU,Prudential Financial Inc,Financials,Life & Health Insurance
RL,Ralph Lauren Corp,Consumer Discretionary,Apparel Accessories & Luxury Goods
REG,Regency Centers Corp,Real Estate,Retail REITs
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services
SBAC,SBA Communications Corp,Real Estate,Telecom Tower REITs
SIG,Signet Jewelers Ltd,Consumer Discretionary,Specialty Stores
SNA,Snap-on Inc,Industrials,Industrial Machinery & Supplies
LUV,Southwest Airlines Co,Industrials,Passenger Airlines
SWK,Stanley Black & Decker Inc,Industrials,Industrial Machinery & Supplies
STT,State Street Corp,Financials,Asset Management & Custody Banks
STLD,Steel Dynamics Inc,Materials,Steel
STE,STERIS plc,Health Care,Health Care Equipment
SYF,Synchrony Financial,Financials,Consumer Finance
TDG,TransDigm Group Inc,Industrials,Aerospace & Defense
TRV,Travelers Companies Inc,Financials,Property & Casualty Insurance
TRMB,Trimble Inc,Information Technology,Electronic Equipment & Instruments
TYL,Tyler Technologies Inc,Information Technology,Application Software
TSN,Tyson Foods Inc,Consumer Staples,Packaged Foods & Meats
UDR,UDR Inc,Real Estate,Residential REITs
URI,United Rentals Inc,Industrials,Trading Companies & Distributors
UAL,United Airlines Holdings Inc,Industrials,Passenger Airlines
UHS,Universal Health Services Inc,Health Care,Health Care Facilities
VTR,Ventas Inc,Real Estate,Health Care REITs
VRSN,VeriSign Inc,Information Technology,Internet Services & Infrastructure
VFC,VF Corp,Consumer Discretionary,Apparel Accessories & Luxury Goods
VTRS,Viatris Inc,Health Care,Pharmaceuticals
VICI,VICI Properties Inc,Real Estate,Other Specialized REITs
VMC,Vulcan Materials Co,Materials,Construction Materials
WAB,Wabtec Corp,Industrials,Construction Machinery & Heavy Transportation Equipment
WAT,Waters Corp,Health Care,Life Sciences Tools & Services
WST,West Pharmaceutical Services Inc,Health Care,Health Care Supplies
WRK,WestRock Co,Materials,Paper & Plastic Packaging Products & Materials
WHR,Whirlpool Corp,Consumer Discretionary,Household Appliances
WYNN,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming
XYL,Xylem Inc,Industrials,Industrial Machinery & Supplies
ZBRA,Zebra Technologies Corp,Information Technology,Electronic Equipment & Instruments
ZBH,Zimmer Biomet Holdings Inc,Health Care,Health Care Equipment
PLTR,Palantir Technologies Inc,Information Technology,Systems Software
DELL,Dell Technologies Inc,Information Technology,Technology Hardware Storage & Peripherals
VST,Vistra Corp,Utilities,Electric Utilities
GEV,GE Vernova Inc,Industrials,Electrical Components & Equipment
GDDY,GoDaddy Inc,Information Technology,Internet Services & Infrastructure
LII,Lennox International Inc,Industrials,Building Products
FICO,Fair Isaac Corp,Information Technology,Application Software
NVT,nVent Electric plc,Industrials,Electrical Components & Equipment
KVUE,Kenvue Inc,Consumer Staples,Personal Care Products
AWK,American Water Works Co Inc,Utilities,Water Utilities
BG,Bunge Global SA,Consumer Staples,Agricultural Products & Services
TECH,Bio-Techne Corp,Health Care,Life Sciences Tools & Services
BR,Broadridge Financial Solutions Inc,Information Technology,Data Processing & Outsourced Services
BRO,Brown & Brown Inc,Financials,Insurance Brokers
CRL,Charles River Laboratories International Inc,Health Care,Life Sciences Tools & Services
CF,CF Industries Holdings Inc,Materials,Fertilizers & Agricultural Chemicals
CTVA,Corteva Inc,Materials,Fertilizers & Agricultural Chemicals
DD,DuPont de Nemours Inc,Materials,Specialty Chemicals
EFX,Equifax Inc,Industrials,Research & Consulting Services
EQR,Equity Residential,Real Estate,Residential REITs
ESS,Essex Property Trust Inc,Real Estate,Residential REITs
EG,Everest Group Ltd,Financials,Property & Casualty Insurance
EVRG,Evergy Inc,Utilities,Electric Utilities
EXR,Extra Space Storage Inc,Real Estate,Self-Storage REITs
FFIV,F5 Inc,Information Technology,Communications Equipment
FIS,Fidelity National Information Services Inc,Financials,Transaction & Payment Processing Services
FITB,Fifth Third Bancorp,Financials,Regional Banks
FSLR,First Solar Inc,Information Technology,Semiconductor Equipment
BEN,Franklin Resources Inc,Financials,Asset Management & Custody Banks
GRMN,Garmin Ltd,Consumer Discretionary,Consumer Electronics
GEN,Gen Digital Inc,Information Technology,Systems Software
HAS,Hasbro Inc,Consumer Discretionary,Leisure Products
HSIC,Henry Schein Inc,Health Care,Health Care Distributors
HES,Hess Corp,Energy,Oil & Gas Exploration & Production
HBAN,Huntington Bancshares Inc,Financials,Regional Banks
IEX,IDEX Corp,Industrials,Industrial Machinery & Supplies
ITW,Illinois Tool Works Inc,Industrials,Industrial Machinery & Supplies
INCY,Incyte Corp,Health Care,Biotechnology
IFF,International Flavors & Fragrances Inc,Materials,Specialty Chemicals
IP,International Paper Co,Materials,Paper & Plastic Packaging Products & Materials
IVZ,Invesco Ltd,Financials,Asset Management & Custody Banks
IQV,IQVIA Holdings Inc,Health Care,Life Sciences Tools & Services
JKHY,Jack Henry & Associates Inc,Financials,Transaction & Payment Processing Services
KEY,KeyCorp,Financials,Regional Banks
KIM,Kimco Realty Corp,Real Estate,Retail REITs
LHX,L3Harris Technologies Inc,Industrials,Aerospace & Defense
LH,Laboratory Corp of America Holdings,Health Care,Health Care Services
LW,Lamb Weston Holdings Inc,Consumer Staples,Packaged Foods & Meats
LVS,Las Vegas Sands Corp,Consumer Discretionary,Casinos & Gaming
LDOS,Leidos Holdings Inc,Industrials,Research & Consulting Services
LEN,Lennar Corp,Consumer Discretionary,Homebuilding
L,Loews Corp,Financials,Multi-line Insurance
LYB,LyondellBasell Industries NV,Materials,Commodity Chemicals
MTB,M&T Bank Corp,Financials,Regional Banks
MRO,Marathon Oil Corp,Energy,Oil & Gas Exploration & Production
MTCH,Match Group Inc,Communication Services,Interactive Media & Services
MKC,McCormick & Co Inc,Consumer Staples,Packaged Foods & Meats
MTD,Mettler-Toledo International Inc,Health Care,Life Sciences Tools & Services
MAA,Mid-America Apartment Communities Inc,Real Estate,Residential REITs
MOS,Mosaic Co,Materials,Fertilizers & Agricultural Chemicals
MSCI,MSCI Inc,Financials,Financial Exchanges & Data
NDAQ,Nasdaq Inc,Financials,Financial Exchanges & Data
NTRS,Northern Trust Corp,Financials,Asset Management & Custody Banks
OGN,Organon & Co,Health Care,Pharmaceuticals
PNW,Pinnacle West Capital Corp,Utilities,Electric Utilities
PFG,Principal Financial Group Inc,Financials,Life & Health Insurance
RF,Regions Financial Corp,Financials,Regional Banks
RMD,ResMed Inc,Health Care,Health Care Equipment
RVTY,Revvity Inc,Health Care,Life Sciences Tools & Services
ROK,Rockwell Automation Inc,Industrials,Electrical Components & Equipment
ROL,Rollins Inc,Industrials,Environmental & Facilities Services
SPGI,S&P Global Inc,Financials,Financial Exchanges & Data
CRM,Salesforce Inc,Information Technology,Application Software
VLTO,Veralto Corp,Industrials,Environmental & Facilities Services
WELL,Welltower Inc,Real Estate,Health Care REITs
WTW,Willis Towers Watson plc,Financials,Insurance Brokers
WM,Waste Management Inc,Industrials,Environmental & Facilities Services
PEG,Public Service Enterprise Group Inc,Utilities,Multi-Utilities
MCO,Moody's Corp,Financials,Financial Exchanges & Data
ICE,Intercontinental Exchange Inc,Financials,Financial Exchanges & Data
MSI,Motorola Solutions Inc,Information Technology,Communications Equipment
NUE,Nucor Corp,Materials,Steel
PAYC,Paycom Software Inc,Information Technology,Application Software
PPG,PPG Industries Inc,Materials,Specialty Chemicals
ROK,Rockwell Automation Inc,Industrials,Electrical Components & Equipment
STE,STERIS plc,Health Care,Health Care Equipment
TT,Trane Technologies plc,Industrials,Industrial Machinery & Supplies
UNP,Union Pacific Corp,Industrials,Railroads
VLO,Valero Energy Corp,Energy,Oil & Gas Refining & Marketing
ZTS,Zoetis Inc,Health Care,Pharmaceuticals
